##################################################;;;;;;;;;;;;;;x;
# Generic Tech Names;;;;;;;;;;;;;;x;
##################################################;;;;;;;;;;;;;;x;
default_tech_0;Yet to be developed;;;;;;;;;;;;;x
default_tech_1;Developed;;;;;;;;;;;;;x
combat_medicine_1;Combat Casualty Care;;;;;;;;;;;;;x
combat_medicine_2;Antibacterials;;;;;;;;;;;;;x
combat_medicine_3;Antibiotics;;;;;;;;;;;;;x
combat_medicine_4;Penicillin G;;;;;;;;;;;;;x
combat_medicine_5;Polytrauma Treatment;;;;;;;;;;;;;x
combat_medicine_6;Broad-Spectrum Antibiotics;;;;;;;;;;;;;x
first_aid_1;Military Health Service;;;;;;;;;;;;;x
first_aid_2;Combat Medics;;;;;;;;;;;;;x
first_aid_3;Medical Corps;;;;;;;;;;;;;x
first_aid_4;Field Hospitals;;;;;;;;;;;;;x
first_aid_5;Combat Support Hospitals;;;;;;;;;;;;;x
first_aid_6;Combat Support Ambulance System;;;;;;;;;;;;;x
agriculture_1;Industrial Agriculture;;;;;;;;;;;;;x
agriculture_2;Organic Fertilizers;;;;;;;;;;;;;x
agriculture_3;Chemical Fertilizers;;;;;;;;;;;;;x
agriculture_4;Multiple Tractor-Harvester Cooperation;;;;;;;;;;;;;x
agriculture_5;Multi-Seasonal Plants;;;;;;;;;;;;;x
agriculture_6;Synthetic Pesticides;;;;;;;;;;;;;x
agriculture_7;Improved Irrigation System;;;;;;;;;;;;;x
agriculture_8;Improved Harvester Equipment;;;;;;;;;;;;;x
agriculture_9;Improved Machinery Units;;;;;;;;;;;;;x
agriculture_10;Center-pivot Irrigation;;;;;;;;;;;;;x
agriculture_11;DDT Pesticides;;;;;;;;;;;;;x
agriculture_12;Shifting Cultivation;;;;;;;;;;;;;x
agriculture_13;Plastic Mulch;;;;;;;;;;;;;x
education_1;Early Educational Studies;;;;;;;;;;;;;x
education_2;Compulsory Elementary Education;;;;;;;;;;;;;x
education_3;Classical Educational Models;;;;;;;;;;;;;x
education_4;Compulsory Language Education;;;;;;;;;;;;;x
education_5;Free Libraries for Children;;;;;;;;;;;;;x
education_6;Supported Library Use;;;;;;;;;;;;;x
education_7;Supported Secondary Education;;;;;;;;;;;;;x
education_8;Specalized Classes Concepts;;;;;;;;;;;;;x
education_9;Early Educational Theories;;;;;;;;;;;;;x
education_10;Supported University Education;;;;;;;;;;;;;x
education_11;Adult Education;;;;;;;;;;;;;x
industral_production_1;Great War Production Machinery;;;;;;;;;;;;;x
industral_production_2;Upgraded Production Machinery;;;;;;;;;;;;;x
industral_production_3;Introduction of Task Allocation;;;;;;;;;;;;;x
industral_production_4;Equipment Specialization;;;;;;;;;;;;;x
industral_production_5;Workplace Allocation;;;;;;;;;;;;;x
industral_production_6;Machinery Standardization;;;;;;;;;;;;;x
industral_production_7;Military-Industrial Complex;;;;;;;;;;;;;x
industral_production_8;Experienced Workers Management;;;;;;;;;;;;;x
industral_production_9;Early Human Resource Management;;;;;;;;;;;;;x
industral_production_10;Basic Human Resource Management;;;;;;;;;;;;;x
industral_production_11;Basic Electronics Usage;;;;;;;;;;;;;x
industral_production_12;Modernized Machinery;;;;;;;;;;;;;x
industral_production_13;Modern Human Resource Management;;;;;;;;;;;;;x
industral_efficiency_1;Early Automation Techniques;;;;;;;;;;;;;x
industral_efficiency_2;Basic Automation Techniques;;;;;;;;;;;;;x
industral_efficiency_3;Adjusted Resource Flow;;;;;;;;;;;;;x
industral_efficiency_4;Increased Storage Usage;;;;;;;;;;;;;x
