xxxx;;;;;;;;;;;;;;x
######################################################################;;;;;;;;;;;;;;x
# Savegame transfers;;;;;;;;;;;;;;x
######################################################################;;;;;;;;;;;;;;x
SAVE_PROG;游戏进度：$VALUE$ %;Progression de la sauvegarde : $VALUE$ %;Speicherfortschritt: $VALUE$ %;Post阷 zapisu: $VALUE$ %;Guardado completado: $VALUE$ %;Salva progressi: $VALUE$ %;Ment閟 folyamaban: $VALUE$%;Ulo瀒t postup: $VALUE$ %;;;;;;x
TRANSERING_SAVE;解析游戏进度中……;D閎ut du transfert de la sauvegarde?;Spielstandtransfer eingeleitet ...;Rozpocz阾o transfer zapisanej gry...;Inicio de transferencia de datos guardados...;Trasferimento del salvataggio avviato...;Ment閟醫t鰈t閟 folyamatban?;Za鑑lo ukl醖醤?...;;;;;;x
LOADING_LOCAL_SAVE;读取游戏进度中……;Chargement de la copie de sauvegarde locale?;Lokale Spielstandkopie wird geladen ...;Wczytuj? kopi? zapisanej gry lokalnej...;Cargando copia local de datos guardados...;Caricamento copia salvataggio in locale in corso...;Helyi ment閟 bet鰈t閟e?;Nahr醰醤? m韘tn? ulo瀍n? hry...;;;;;;x
PLR_DISC;玩家?Y$NAME$?W离开了游戏。;Le joueur ?Y$NAME$?W a quitt? la partie.;Spieler $NAME$ hat das Spiel verlassen.;Gracz $NAME$ opu渃i? gr?.;El jugador ?Y$NAME$?W ha abandonado el juego.;Il giocatore $NAME$ ha lasciato la partita.;$NAME$ elhagyta a j醫閗ot.;Hr徼 ?Y$NAME$?W opustil hru.;;;;;;x
PLR_CONNECT;玩家?Y$NAME$?W加入了游戏。;Le joueur Player ?Y$NAME$?W a rejoint la partie.;Spieler $NAME$ ist dem Spiel beigetreten.;Gracz $NAME$ do彻czy? do gry.;El jugador ?Y$NAME$?W se ha unido al juego.;Il giocatore $NAME$ partecipa alla partita.;$NAME$ csatlakozott a j醫閗hoz.;Hr徼 ?Y$NAME$?W se p鴌pojil ke h鴈.;;;;;;x
REVERT_SAVE_CAL;恢复默认数据。;Retour ? la base de donn閑s par d閒aut.;Standard-Datenbank wird eingesetzt.;Powr髏 do domy渓nej bazy danych.;Volviendo a la base de datos por defecto.;Ripristino del database predefinito.;Visszat閞閟 az eredeti adatb醶ishoz?;Reverze na v齝hoz? datab醶i.;;;;;;x
SAVE_TRANSFER_DONE;游戏进度解析完成。;Transfert de sauvegarde termin?.;Spielstandtransfer beendet.;Dokonano transferu zapisanej gry.;Transferencia de datos guardados completada.;Trasferimento del salvataggio completato.;Ment閟醫t鰈t閟 k閟z.;P鴈nos ulo瀍n? hry ukon鑕n.;;;;;;x
######################################################################;;;;;;;;;;;;;;x
# Loading texts;;;;;;;;;;;;;;x
######################################################################;;;;;;;;;;;;;;x
LOADING_MAP_SPRITES;读取地图……;Chargement des sprites de carte?;Karten-Sprites werden geladen ...;Wczytywanie Map-Sprites...;Cargando gr醘icos animados de mapas...;Caricamento Sprites mappa in corso...;Egys間ek bet鰈t閟e?;Nahr醰醤? zmen歟nin na map?...;;;;;;x
LOADING_GUI_DEF;读取图形界面……;Chargement des d閒initions GUI?;GUI-Definitionen werden geladen ...;Wczytywanie definicji interfejsu graficznego...;Cargando definiciones de IGU...;Caricamento definizioni GUI in corso...;GUI bet鰈t閟e?;Nahr醰醤? definic rozhran?...;;;;;;x
LOADING_DATABASES;读取数据库……;Chargement des bases de donn閑s?;Datenbanken werden geladen ...;Wczytywanie baz danych...;Cargando bases de datos...;Caricamento database in corso...;Adatb醶is bet鰈t閟e?;Nahr醰醤? datab醶?...;;;;;;x
LOADING_DATABASES2;读取数据库II……;Chargement des bases de donn閑s II?;;;Cargando bases de datos II...;;;;;;;;;x
INIT_MAP_LOGIC;初始化地图……;Initialisation Maplogic?;Maplogic wird initialisiert ...;Uruchamianie Maplogic...;Inicializando l骻ica de mapa...;Inizializzazione Maplogic in corso...;P醠ya鷗vonalak t鰈t閟e?;Inicializace syst閙u map?;;;;;;x
CREATING_CHKSUM;创建校验点……;Cr閍tion de somme de contr鬺e?;Pr黤summe wird erstellt ...;Tworzenie sumy kontrolnej...;Creando total de chequeos...;Creazione checksum in corso...;Ellen鮮z? 鰏szeg l閠rehoz醩a?;Vytv狲en? hodnot sou鑤?...;;;;;;x
LOADING_HISTORY;读取历史文件……;Chargement des fichiers historiques...;Geschichtsdateien werden geladen ...;Wczytywanie plik體 historycznych...;Cargando archivos de historia...;Caricamento file storia in corso...;T鰎t閚elmi f醞lok bet鰈t閟e?;Nahr醰醤? soubor? s histori?...;;;;;;x
LOADING_SOUNDS;读取声音……;Chargement des sons?;Sounddateien werden geladen ...;Wczytywanie d焪i阫體...;Cargando sonidos...;Caricamento suoni in corso...;Hangok bet鰈t閟e?;Nahr醰醤? zvuk?...;;;;;;x
PROC_FLAGS;处理变量……;Traitement des drapeaux?;Flaggen werden verarbeitet ...;Przetwarzanie flag...;Procesando banderas...;Elaborazione flag in corso...;Z醩zl髃 feldolgoz醩a?;Zpracov醤? vlajek...;;;;;;x
LOAD_FLAGS;读取变量……;Chargement des drapeaux?;Flaggen werden geladen ...;Wczytywanie flag...;Cargando banderas...;Caricamento flag in corso...;Z醩zl髃 bet鰈t閟e?;Nahr醰醤? vlajek...;;;;;;x
LOAD_GFX;读取图像……;Chargement des graphismes?;Grafiken werden geladen ...;Wczytywanie grafiki...;Cargando gr醘icos...;Caricamento grafica in corso...;Grafik醟 bet鰈t閟e?;Nahr醰醤? grafiky...;;;;;;x
CREATING_THE_WORLD;创建世界……;Cr閍tion du monde?;Die Welt wird erstellt ...;Tworzenie 渨iata...;Creando el mundo...;Creazione mondo in corso...;Vil醙 l閠rehoz醩a?;Vytv狲en? sv靦a...;;;;;;x
CREATING_TREES;创建树木……;Cr閍tion des arbres...;B鋟me werden erstellt ...;Tworzenie drzew...;Creando 醨boles...;Creazione alberi in corso...;F醟 l閠rehoz醩a?;Vytv狲en? porost?...;;;;;;x
CREATING_BORDERS;创建边界……;Cr閍tion des fronti鑢es...;Grenzen werden erstellt ...;Tworzenie granic...;Creando fronteras...;Creazione confini in corso...;Orsz醙hat醨ok l閠rehoz醩a?;Vytv狲en? hranic...;;;;;;x
CREATING_RIVERS;创建河流……;Cr閍tion des fleuves...;Fl黶se werden erstellt ...;Tworzenie rzek...;Creando r韔s...;Creazione fiumi in corso...;Foly髃 l閠rehoz醩a?;Vytv狲en? 鴈k...;;;;;;x
MAP_PROPERLY_INIT;地图完全初始化……;Initialisation de la carte r閡ssie?;Karte korrekt initialisiert ...;Mapa uruchomiona prawid硂wo...;Mapa inicializado con 閤ito...;Mappa inizializzata correttamente...;A p醠ya bet鰈tve?;Mapa byla spr醰n? inicializov醤a...;;;;;;x
CREATING_PROVINCE;创建省份 #;Cr閍tion de province #;Erstellung der Provinz#;Tworzenie prowincji;Creando provincia #;Creazione provincia # in corso...;Provincia l閠rehoz醩a?;Vytv狲en? provincie #;;;;;;x
CREATING_TEXTS;创建文本……;Cr閍tion des textes?;Texte werden erstellt ....;Tworzenie tekst體...;Creando textos....;Creazione testi in corso...;Sz鰒egek l閠rehoz醩a?;Vytv狲en? text?...;;;;;;x
LOAD_EVENTS;读取事件……;Chargement des 関鑞ements?;Ereignisse werden geladen ...;Wczytywanie zdarze?...;Cargando eventos...;Caricamento eventi in corso...;Esem閚yek bet鰈t閟e?;Nahr醰醤? ud醠ost?...;;;;;;x
