##################################################;;;;;;;;;;;;;;x
# Regions ;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
lappland_region;Lappland;Lappland;Lappland;Lappland;Lappland;;;;;;;;;;;;;;x
norrbotten_region;Norrbotten;Norrbotten;Norrbotten;Norrbotten;Norrbotten;;;;;;;;;;;;;;x
vasterbotten_region;Västerbotten;Västerbotten;Västerbotten;Västerbotten;Västerbotten;;;;;;;;;;;;;;x
jamtland_region;Jämtland;Jämtland;Jämtland;Jämtland;Jämtland;;;;;;;;;;;;;;x
angermanland_region;Ångermanland;Ångermanland;Ångermanland;Ångermanland;Ångermanland;;;;;;;;;;;;;;x
medelpad_region;Medelpad;Medelpad;Medelpad;Medelpad;Medelpad;;;;;;;;;;;;;;x
harjedalen_region;Härjedalen;Härjedalen;Härjedalen;Härjedalen;Härjedalen;;;;;;;;;;;;;;x
halsingland_region;Hälsingland;Hälsingland;Hälsingland;Hälsingland;Hälsingland;;;;;;;;;;;;;;x
dalarna_region;Dalarns;Dalarns;Dalarns;Dalarns;Dalarns;;;;;;;;;;;;;;x
gastrikland_region;Gästrikland;Gästrikland;Gästrikland;Gästrikland;Gästrikland;;;;;;;;;;;;;;x
varmland_region;Värmland;Värmland;Värmland;Värmland;Värmland;;;;;;;;;;;;;;x
vastmanland_region;Västmanland;Västmanland;Västmanland;Västmanland;Västmanland;;;;;;;;;;;;;;x
uppland_region;Uppland;Uppland;Uppland;Uppland;Uppland;;;;;;;;;;;;;;x
narke_region;Närke;Närke;Närke;Närke;Närke;;;;;;;;;;;;;;x
sodermanland_region;Södermanland;Södermanland;Södermanland;Södermanland;Södermanland;;;;;;;;;;;;;;x
dalsland_region;Dalsland;Dalsland;Dalsland;Dalsland;Dalsland;;;;;;;;;;;;;;x
bohuslan_region;Bohuslän;Bohuslän;Bohuslän;Bohuslän;Bohuslän;;;;;;;;;;;;;;x
vastergotland_region;Västergötland;Västergötland;Västergötland;Västergötland;Västergötland;;;;;;;;;;;;;;x
ostergotland_region;Östergötland;Östergötland;Östergötland;Östergötland;Östergötland;;;;;;;;;;;;;;x
halland_region;Halland;Halland;Halland;Halland;Halland;;;;;;;;;;;;;;x
smaland_region;Småland;Småland;Småland;Småland;Småland;;;;;;;;;;;;;;x
oland_region;Öland;Öland;Öland;Öland;Öland;;;;;;;;;;;;;;x
gotland_region;Gotland;Gotland;Gotland;Gotland;Gotland;;;;;;;;;;;;;;x
skane_region;Skåne;Skåne;Skåne;Skåne;Skåne;;;;;;;;;;;;;;x
blekinge_region;Blekinge;Blekinge;Blekinge;Blekinge;Blekinge;;;;;;;;;;;;;;x
russia_ssr_region;Rossiyskaya SFSR;Rossiyskaya SFSR;Rossiyskaya SFSR;Rossiyskaya SFSR;Rossiyskaya SFSR;;;;;;;;;;;;;;x
ukraine_ssr_region;Ukrains'ka RSR;Ukrains'ka RSR;Ukrains'ka RSR;Ukrains'ka RSR;Ukrains'ka RSR;;;;;;;;;;;;;;x
uzbek_ssr_region;O`zbekiston SSR;O`zbekiston SSR;O`zbekiston SSR;O`zbekiston SSR;O`zbekiston SSR;;;;;;;;;;;;;;x
kazakh_ssr_region;Qazaq KSR;Qazaq KSR;Qazaq KSR;Qazaq KSR;Qazaq KSR;;;;;;;;;;;;;;x
byelorus_ssr_region;Byelaruskaya SSR;Byelaruskaya SSR;Byelaruskaya SSR;Byelaruskaya SSR;Byelaruskaya SSR;;;;;;;;;;;;;;x
azerbaijan_ssr_region;Azerbaycan SSR;Azerbaycan SSR;Azerbaycan SSR;Azerbaycan SSR;Azerbaycan SSR;;;;;;;;;;;;;;x
georgia_ssr_region;sakartvelos ssr; sakartvelos ssr;sakartvelos ssr;sakartvelos ssr;sakartvelos ssr;;;;;;;;;;;;;;x
tajik_ssr_region;RSS Tojikiston;RSS Tojikiston;RSS Tojikiston;RSS Tojikiston;RSS Tojikiston;;;;;;;;;;;;;;x
kirghiz_ssr_region;Kyrgyz SSR;Kyrgyz SSR;Kyrgyz SSR;Kyrgyz SSR;Kyrgyz SSR;;;;;;;;;;;;;;x
turkmen_ssr_region;Türkmenistan SSR;Türkmenistan SSR;Türkmenistan SSR;Türkmenistan SSR;Türkmenistan SSR;;;;;;;;;;;;;;x
armenia_ssr_region;Haykakan SSH;Haykakan SSH;Haykakan SSH;Haykakan SSH;Haykakan SSH;;;;;;;;;;;;;;x
duna_tisza_koze_region;Duna-Tisza köze;Duna-Tisza köze;Duna-Tisza köze;Duna-Tisza köze;;;;;;;;;;;;;;x
dunantul_region;Dunántúl;Dunántúl;Dunántúl;Dunántúl;Dunántúl;;;;;;;;;;;;;;x
